Game type,Attacker-model,Defender-model,Finetuning method,Details,Benchmark,FNAME
ua-ud,attacker_mistralai/Mistral-7B-Instruct-v0.1,defender_mistralai/Mistral-7B-Instruct-v0.1,None,,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/untrained_attacker_untrained_defender/21-58-1723427895/openai_attacker_attacker_mistralai..Mistral-7B-Instruct-v0.1_defender_defender_mistralai..Mistral-7B-Instruct-v0.1.json
ua-ud,attacker_meta-llama/Meta-Llama-3.1-8B-Instruct,defender_meta-llama/Meta-Llama-3.1-8B-Instruct,None,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/untrained_attacker_untrained_defender/10-25-1723472731/jailbreakbench_untrained_attacker_untrained_defender_llama.json
ua-ud,attacker_mistralai/Mistral-7B-Instruct-v0.1,defender_mistralai/Mistral-7B-Instruct-v0.1,None,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/untrained_attacker_untrained_defender/10-25-1723472723/jailbreakbench_untrained_attacker_untrained_defender_mistral.json
ua-ud,attacker_meta-llama/Meta-Llama-3.1-8B-Instruct,defender_meta-llama/Meta-Llama-3.1-8B-Instruct,None,,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/untrained_attacker_untrained_defender/08-51-1723467117/openai_untrained_attacker_untrained_defender_mistral.json
,,,,,,
ta-ud,trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturnsft_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-10-16-56-06-894/checkpoint-135,defender_meta-llama/Meta-Llama-3.1-8B-Instruct,SFT,,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/trained_attacker_untrained_defender_mistral/09-02-1723467739/openai_trained_attacker_untrained_defender_llama.json
ta-ud,rwr_trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturn_rwr_attacker_mistralai/Mistral-7B-Instruct-v0.1_2024-08-19-17-16-11-631/checkpoint-366,defender_mistralai/Mistral-7B-Instruct-v0.1,RWR,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/trained_attacker_untrained_defender_mistral/09-19-1724332769/jailbreakbench_trained_attacker_untrained_defender_mistral.json
ta-ud,trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturnsft_attacker_mistralai/Mistral-7B-Instruct-v0.1_2024-08-10-16-11-32-379/checkpoint-135,defender_mistralai/Mistral-7B-Instruct-v0.1,SFT,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/trained_attacker_untrained_defender_mistral/09-52-1723557144/jailbreakbench_trained_attacker_untrained_defender_mistral.json
ta-ud,trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturnsft_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-10-16-56-06-894/checkpoint-135,defender_meta-llama/Meta-Llama-3.1-8B-Instruct,SFT,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/trained_attacker_untrained_defender_mistral/11-40-1723477246/jailbreakbench_trained_attacker_untrained_defender_llama.json
ta-ud,rwr_trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturn_rwr_attacker_mistralai/Mistral-7B-Instruct-v0.1_2024-08-19-17-16-11-631/checkpoint-366,defender_mistralai/Mistral-7B-Instruct-v0.1,RWR,,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/trained_attacker_untrained_defender_mistral/15-41-1724269308/openai_trained_attacker_untrained_defender_mistral.json
